period_start,period_end,status,calendar_days,settled_days,pnl,mean_day_pnl,worst_day_pnl,fill_rate,proof_id
2026-03-23,2026-03-29,settled,7,7,32211.6225,4601.6603571429,-2847.775,0.5758064516,445ee631d6298857a17baed9a35e8656214978fc31209145c18e59b0cc5bf4cc
2026-03-30,2026-04-05,settled,7,7,18546.1375,2649.4482142857,-4009.025,0.7175925926,3712f56bba5756c405d94d04ee2b8ff41a2875a64779690d294a5cf9f0015cad
2026-04-06,2026-04-12,settled,7,7,-2571.7025,-367.3860714286,-18368.525,0.7628571429,0dfe420384f6ce5c3e212dad295ec81b2f520de94547e60baafacad4bed14cea
2026-04-13,2026-04-19,settled,7,7,-4611.1475,-658.7353571429,-12323.545,0.8625,4e4922e6abf9a87342e4253bc5c536e83cc62236caf93cf28b3a3a3de53cb287
2026-04-20,2026-04-26,settled,7,7,12177.185,1739.5978571429,-13532.3575,0.7921428571,acc8bfb96c5483b06144c14905503c3a8313c2e6ff1b475e8b79a97b954e6b99
2026-04-27,2026-05-03,settled,7,7,-12958.8774964434,-1851.2682137776,-41367.1399923426,0.979233871,08c8d18394e49d5f7faf5ccb4d42d60c4629f3aea32d4bb30bafb41f2e8ae681
2026-05-04,2026-05-10,settled,7,7,25003.8050397183,3571.9721485312,-22172.175,0.8988425926,a304876e693fddc4c569b3d3ae51f3f14f3af1a9c19036bc4a2c7b587301e84d
2026-05-11,2026-05-17,settled,7,7,19912.475,2844.6392857143,-7941.63,0.8446428571,690578f6c15b050abf0f37a1194481ab9dd319e21ba98974c2c15869a1a637c3
2026-05-18,2026-05-24,settled,7,7,24454.78,3493.54,-1136.3125,0.9866935484,2047de04b2b45847175b259b21631d682ead9ae43f4d87c0d63ab3905d91cb58
2026-05-25,2026-05-31,settled,7,7,-10108.665,-1444.095,-11666.83,0.9807142857,a1dfae42ce87b9aba606e626b81a0bb59374eb871616a1c3fa4f42336e60d2a3
2026-06-01,2026-06-07,settled,7,7,-3701.38,-528.7685714286,-13164.8825,0.995766129,250b31abdb9b473ea1979e0eac6d8f0d181b05c611cfbef4421aa36fd2df5fff
2026-06-08,2026-06-14,settled,7,7,-4485.7175,-640.8167857143,-21679.04,0.9341071429,285494226ac3941d7ee27889ceab0f17a4add022ed46684443bb1278ac49722e
2026-06-15,2026-06-21,settled,7,7,21257.705,3036.815,-9012.955,0.985,93451d1d6191cdc70cde92c5c651634b91e87418c0b05b5fe6a7b2c32525fed0
2026-06-22,2026-06-28,settled,7,7,8932.325,1276.0464285714,-6632.005,0.9805357143,1f4240ecca09839b302bad01feb5af73a188f6f96b8ca2090be626ffeb6158f6
2026-06-29,2026-07-05,settled,7,7,35578.585,5082.655,2316.49,0.9803571429,2272b24946522f08cb1eabedec283c69ff0dc39c2d4849b4a45a5c04b04c0492
2026-07-06,2026-07-12,settled,7,7,-193.51,-27.6442857143,-4662.7375,0.9678571429,d46b31adf84092c0d56a543a35c84326795c7049302057e85d4678ae7a4fa438
2026-07-13,2026-07-19,settled,7,7,19326.805,2760.9721428571,-651.8225,0.99625,59bdcedea8b275a1b68be046979ebe557f69477e0345020871f8d2aebdd07fac
2026-07-20,2026-07-26,settled,7,7,-38504.6149999998,-5500.6592857143,-42927.4874999999,0.9917857143,a1df3c5268ddbd6d2764e3d1ab2e94e299592f98c2705eb6a101d8a09400433c
2026-07-27,2026-08-02,settled,7,7,-5519.8725,-788.5532142857,-10225.075,0.9441071429,f53b452d3fb1e3ca206b05645e57e5f99b2b909722cb83e555ba3a32d255794b
2026-08-03,2026-08-09,settled,7,7,-2183.65,-311.95,-15552.2,1,337f13863efd3b79b1d9f6fc2389fa9765d4d645f7a4fbd2858af7d8ab6824af
2026-08-10,2026-08-16,settled,7,7,-4197.455,-599.6364285714,-12654.3975,0.9826785714,aa7d1796d994abdd3ee85ff656020ec76290f43aee1aad80bd8cefd0a8ec78f0
2026-08-17,2026-08-23,settled,7,7,19245.2525,2749.3217857143,-4837.9,0.9982142857,0900a64e3af0801635f95e544ed43108d76bee377e245f90f85af7030207f783
2026-08-24,2026-08-30,settled,7,7,35326.815,5046.6878571429,-1441.1,0.9966071429,d08cf9ddc5cbf77ddc489da8b4ca7827911426c476b334c46464d2716e019e8e
2026-08-31,2026-09-06,settled,7,7,17570.265,2510.0378571429,-4172.8,1,5c8be7159621a5259b1c54bf1776d92c13721751daebc730c8b264a69923667e
2026-09-07,2026-09-13,settled,7,7,10405.775,1486.5392857143,-38.0025,0.8839285714,f3e381ea2d71f74bb1580b27ee2bca38bcbc2198a42521e27d152a8d708246af
2026-09-14,2026-09-20,settled,7,7,2108.0625,301.1517857143,-3943.095,0.9623214286,edea1f55c96836e88fab55c7cf88b00117d6f3372b11b3496e8ff6c8d0e6112b
2026-09-21,2026-09-25,settled,5,5,-8537.105,-1707.421,-30262.235,0.9770833333,e24c6dd2c0dbd45cb0b6e41f46d02db404ccb78f9b735cddd9e3b836f8ad514e
